,Author,Title,Publication Date,Journal,DOI or ISSN or Link,Documented or Projected,Date Range of Study,Year,Study Area,Continent or Region,Country,Freshwater Ecoregion,Major Habitat Type,Waterbody Type,Lentic or Lotic,Climate Change Variable,Focal Species or Assemblage,Additional Species,Response Category,Response Variable,Fish_Response,Thermal Guild,Family or Fish Assemblage,Feeding Type,Feeding Habit,Reproductive Guild - Parental Care,Reproductive Guild - Pattern of Care,Binary Response,Management Recommendations
1,Quinn and Adams,Environmental changes affecting the migratory timing of American shad and sockeye salmon,1996,Ecology,10.2307/2265584,documented,1966,1966,"Columbia River, United States of America",North America,United States,Columbia Glaciated; Columbia Unglaciated; Oregon & Northern California Coastal; Oregon Lakes; Alaska & Canada Pacific Coastal; Upper Missouri; Upper Snake; Upper Saskatchewan,Temperate coastal rivers; Temperate floodplain rivers and wetlands; Temperate upland rivers,stream,lotic,"flow, temperature",American Shad (Alosa sapidissima),NA,phenological,upriver migration,earlier migration,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,No formal management recommendation
2,Quinn and Adams,Environmental changes affecting the migratory timing of American shad and sockeye salmon,1996,Ecology,10.2307/2265584,documented,1966,1966,"Columbia River, United States of America",North America,United States,Columbia Glaciated; Columbia Unglaciated; Oregon & Northern California Coastal; Oregon Lakes; Alaska & Canada Pacific Coastal; Upper Missouri; Upper Snake; Upper Saskatchewan,Temperate coastal rivers; Temperate floodplain rivers and wetlands; Temperate upland rivers,stream,lotic,"flow, temperature",Sockeye Salmon (Oncorhynchus nerka),NA,phenological,upriver migration,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
3,Quinn et al.,"Temperature, flow, and the migration of adult sockeye salmon (Oncorhynchus nerka) in the Columbia River",1997,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/f97-038,documented,1964,1964,"Columbia River, United States of America; Snake River, United States of America",North America,United States,Columbia Glaciated; Columbia Unglaciated; Oregon & Northern California Coastal; Oregon Lakes; Alaska & Canada Pacific Coastal; Upper Missouri; Upper Snake; Upper Saskatchewan,Temperate coastal rivers; Temperate floodplain rivers and wetlands; Temperate upland rivers,stream,lotic,"flow, temperature",Sockeye Salmon (Oncorhynchus nerka),NA,phenological,spawning migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
4,Juanes et al.,Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution,2004,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/f04-207,documented,1978-2000,1989,Connecticut River,North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,"flow, temperature",Atlantic Salmon (Salmo salar),NA,phenological,return migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,unknown,No formal management recommendation
5,Juanes et al.,Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution,2004,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/f04-207,documented,1978-2001,1989,Penobscot River,North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,"flow, temperature",Atlantic Salmon (Salmo salar),NA,phenological,return migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,unknown,No formal management recommendation
6,Juanes et al.,Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution,2004,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/f04-207,documented,1953-1992,1989,Miramichi River,North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,"flow, temperature",Atlantic Salmon (Salmo salar),NA,phenological,return migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,unknown,No formal management recommendation
7,Schindler et al.,Effects of changing climate on zooplankton and juvenile sockeye salmon growth in southwestern Alaska,2005,Ecology,10.1890/03-0408,documented,1962-2002,1982,"Wood River System, Alaska, United States of America",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,temperature,Sockeye Salmon (Oncorhynchus nerka),Zooplankton,demographic,growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,positive (+),Conduct research and/or monitoring
8,Robillard and Fox,"Historical changes in abundance and community structure of warmwater piscivore communities associated with changes in water clarity, nutrients, and temperature",2006,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/F05-259,documented,1980-2003,1991,"Kawartha Lakes, Ontario, Canada",North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Walleye (Sander vitreus),NA,demographic,abundance,decrease,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
9,Taylor,"Climate warming causes phenological shift in Pink Salmon, Oncorhynchus gorbuscha, behavior at Auke Creek, Alaska",2008,Global Change Biology,10.1111/j.1365-2486.2007.01494.x,documented,1972-2005,1988,"Auke Creek, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Pink Salmon (Oncorhynchus gorbuscha),NA,phenological,adult migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,mixed effects (+/-),No formal management recommendation
10,Taylor,"Climate warming causes phenological shift in Pink Salmon, Oncorhynchus gorbuscha, behavior at Auke Creek, Alaska",2008,Global Change Biology,10.1111/j.1365-2486.2007.01494.x,documented,1972-2005,1988,"Auke Creek, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Pink Salmon (Oncorhynchus gorbuscha),NA,phenological,fry migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,mixed effects (+/-),No formal management recommendation
